標題,URL
[問卦] 同事問我8月10號什麼日子，484有戲^_^,https://www.ptt.cc/bbs/Gossiping/M.1722317424.A.A99.html
[問卦] 我發覺現在還一堆廢物在意奧運獎牌,https://www.ptt.cc/bbs/Gossiping/M.1722317447.A.416.html
Re: [問卦] 日本奧運也太強了吧 怎麼做到的,https://www.ptt.cc/bbs/Gossiping/M.1722317457.A.3A8.html
[新聞] 韓啦啦隊女神同遊韓國！安芝儇陪玩2天要,https://www.ptt.cc/bbs/Gossiping/M.1722317458.A.C5C.html
Re: [新聞] 台灣「少年股神」巨人傑首度曝光！　1萬,https://www.ptt.cc/bbs/Gossiping/M.1722317492.A.C85.html
[新聞] 快訊／自爆？柯文哲談京華城案：對啦圖,https://www.ptt.cc/bbs/Gossiping/M.1722317525.A.695.html
Re: [問卦] 小草條款？銀行員工不能上PTT發文了？！,https://www.ptt.cc/bbs/Gossiping/M.1722317636.A.797.html
[問卦] 70萬要選青埔還是土城,https://www.ptt.cc/bbs/Gossiping/M.1722317637.A.9DE.html
[問卦] 野原廣志也太強了吧= =,https://www.ptt.cc/bbs/Gossiping/M.1722317650.A.77D.html
Re: [問卦] 零日攻擊的劇情？,https://www.ptt.cc/bbs/Gossiping/M.1722317657.A.F3F.html
[問卦] 台灣真的早晚會被中國所統一嗎?,https://www.ptt.cc/bbs/Gossiping/M.1722317771.A.437.html
Re: [問卦] 這次會不會什麼牌都沒有,https://www.ptt.cc/bbs/Gossiping/M.1722317776.A.D67.html
[問卦] 女同事夾一堆東西給我吃 是啥意思☺,https://www.ptt.cc/bbs/Gossiping/M.1722317785.A.12E.html
[問卦] 台灣有辦法延續漢城奧運的紀錄嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722318032.A.8E3.html
[新聞] 防堵中共威脅！　賴政府首編國防預算6300,https://www.ptt.cc/bbs/Gossiping/M.1722318052.A.614.html
Re: [問卦] 小草條款？銀行員工不能上PTT發文了？！,https://www.ptt.cc/bbs/Gossiping/M.1722318053.A.F82.html
[新聞] iOS 17.6更新修復重要錯誤　蘋果：所有,https://www.ptt.cc/bbs/Gossiping/M.1722318056.A.EA3.html
[問卦] 慟！邱淑貞已經快60？,https://www.ptt.cc/bbs/Gossiping/M.1722318157.A.3A9.html
Fw: [公告] 新任公關站長(Clarify板徵文),https://www.ptt.cc/bbs/Gossiping/M.1721785083.A.E0E.html
[公告] 小心兒少性剝削及宣導加嚴判定水桶(發錢),https://www.ptt.cc/bbs/Gossiping/M.1722163987.A.A80.html
[問卦] 現代職棒還會在乎投手的耐投度嗎,https://www.ptt.cc/bbs/Gossiping/M.1722316405.A.307.html
[問卦] 台電邀請加入智慧計畫該參加嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722316420.A.915.html
[問卦] 過去幾十年保護汽車產業到底在保三小?,https://www.ptt.cc/bbs/Gossiping/M.1722316578.A.DF8.html
Re: [問卦] 你是PTT管理層，會怎麼讓PTT重返榮耀?,https://www.ptt.cc/bbs/Gossiping/M.1722316682.A.9C4.html
[問卦] Dcard彩虹 小雞雞的帥哥大家可以嗎= =,https://www.ptt.cc/bbs/Gossiping/M.1722316752.A.6FC.html
[問卦] 喜歡的女生寄結婚證書來，怎麼辦？,https://www.ptt.cc/bbs/Gossiping/M.1722316758.A.4EC.html
[新聞] 「奪走市長，但奪不走人心！」新竹街頭,https://www.ptt.cc/bbs/Gossiping/M.1722316774.A.2C0.html
[問卦] 這次會不會什麼牌都沒有,https://www.ptt.cc/bbs/Gossiping/M.1722316817.A.2CA.html
[問卦] 今天抄底雲豹225 會贏嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722316893.A.D8B.html
Re: [新聞] 曹操墓驚人發現：曹操身高156公分有口,https://www.ptt.cc/bbs/Gossiping/M.1722316904.A.90A.html
Re: [問卦] 小草條款？銀行員工不能上PTT發文了？！,https://www.ptt.cc/bbs/Gossiping/M.1722316933.A.4A0.html
Re: [問卦] 為何很多89當老闆都提倡讀書無用論,https://www.ptt.cc/bbs/Gossiping/M.1722317017.A.95C.html
[問卦] 泰國只有1/4的男生能讓女生交往？,https://www.ptt.cc/bbs/Gossiping/M.1722317127.A.CCD.html
[問卦] 一直被色色的盯著看能提告嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722317137.A.4E2.html
[問卦] 一碗一千日幣的拉麵在台灣會賣到多少?,https://www.ptt.cc/bbs/Gossiping/M.1722317176.A.76C.html
[問卦] 所以斐陶斐有什麼實際功能？,https://www.ptt.cc/bbs/Gossiping/M.1722317205.A.C1F.html
Re: [問卦] 為何很多89當老闆都提倡讀書無用論,https://www.ptt.cc/bbs/Gossiping/M.1722317226.A.7B0.html
[新聞] 巴黎奧運／英首金出爐！馬術三項賽衛冕成,https://www.ptt.cc/bbs/Gossiping/M.1722317254.A.6E6.html
[問卦] 奧運以後有可能舉辦打炮比賽嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722317263.A.BAD.html
[問卦] threads的負能量是不是很高？,https://www.ptt.cc/bbs/Gossiping/M.1722317332.A.818.html
[問卦] 老師要怎麼轉型?,https://www.ptt.cc/bbs/Gossiping/M.1722315547.A.C22.html
[問卦] 網友提奧運吸金計畫 這運動有機會拿10金,https://www.ptt.cc/bbs/Gossiping/M.1722315632.A.05D.html
Re: [新聞] 巴黎奧運／巴黎副市長發文秀台灣國旗！,https://www.ptt.cc/bbs/Gossiping/M.1722315670.A.07C.html
[問卦] 泡水車有一個地方一定清不乾淨,https://www.ptt.cc/bbs/Gossiping/M.1722315692.A.2F6.html
[新聞] 生物年齡可逆轉，研究：少吃糖就可以,https://www.ptt.cc/bbs/Gossiping/M.1722315706.A.491.html
[爆卦]  今天網球女子雙打捷克上場！,https://www.ptt.cc/bbs/Gossiping/M.1722315723.A.93B.html
Re: [新聞] 台劇「零日攻擊」 趙少康：選舉年推出為,https://www.ptt.cc/bbs/Gossiping/M.1722315821.A.FCF.html
Re: [新聞] 「青鳥1號救助站」正式出團 前進台南助,https://www.ptt.cc/bbs/Gossiping/M.1722315904.A.A99.html
[新聞] 中國五星旗亂入日本「台灣祭」攤位 王定,https://www.ptt.cc/bbs/Gossiping/M.1722315928.A.00F.html
[問卦] 除了成績單什麼都沒有怎辦,https://www.ptt.cc/bbs/Gossiping/M.1722315965.A.FAE.html
[問卦] 日本是目前奧運最強國??,https://www.ptt.cc/bbs/Gossiping/M.1722315965.A.CE5.html
[新聞] 調查官猥褻2女判刑 調查局:科長「降」科,https://www.ptt.cc/bbs/Gossiping/M.1722315966.A.93E.html
[問卦] 我家今天全家出遊該注意什麼？,https://www.ptt.cc/bbs/Gossiping/M.1722315986.A.C8A.html
[新聞] 弱勢曾祖孫窮到逼哭女警 3年3度被冒用詐,https://www.ptt.cc/bbs/Gossiping/M.1722315994.A.12E.html
[問卦] 讀書有錯嗎是什麼很賤的人嗎 怎回？,https://www.ptt.cc/bbs/Gossiping/M.1722316023.A.7D5.html
Re: [問卦] 150萬收購儒哥泡水的GT63，划算嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722316032.A.638.html
[問卦] 沒有比李雅英更強的啦啦隊女孩了吧?,https://www.ptt.cc/bbs/Gossiping/M.1722316059.A.78B.html
[問卦] 台中被硬拔槍的特斯拉短裙妹PR多少？,https://www.ptt.cc/bbs/Gossiping/M.1722316080.A.233.html
Re: [問卦] 物理系是不是很難畢業？,https://www.ptt.cc/bbs/Gossiping/M.1722316167.A.A7A.html
[問卦] 今天敢抄底的是怎樣的人,https://www.ptt.cc/bbs/Gossiping/M.1722316327.A.6D4.html
[問卦] 不會臭的 T-shirt,https://www.ptt.cc/bbs/Gossiping/M.1722314983.A.D38.html
[問卦]為什麼只挖韓啦啦隊不挖球員?,https://www.ptt.cc/bbs/Gossiping/M.1722315019.A.06D.html
[問卦] 獎牌榜只比金牌 公平嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722315065.A.3CF.html
Re: [問卦] 有沒有八卦跟政黑結了什麼深仇大恨的八卦,https://www.ptt.cc/bbs/Gossiping/M.1722315067.A.AA6.html
[新聞] 波蘭外交部次長嗆匈牙利：不喜歡歐盟 何,https://www.ptt.cc/bbs/Gossiping/M.1722315082.A.116.html
[問卦] 平常沒支持就不要落井下石！！！,https://www.ptt.cc/bbs/Gossiping/M.1722315110.A.91F.html
[問卦] 150萬收購儒哥泡水的GT63，划算嗎？,https://www.ptt.cc/bbs/Gossiping/M.1722315124.A.449.html
[問卦] 如何讓50萬變成500萬,https://www.ptt.cc/bbs/Gossiping/M.1722315145.A.174.html
[問卦] 驚！魔獸霍華德領證了,https://www.ptt.cc/bbs/Gossiping/M.1722315163.A.E93.html
[問卦] 這麼熱的天要喝什麼才會覺得涼爽,https://www.ptt.cc/bbs/Gossiping/M.1722315193.A.299.html
[新聞] 少子加高齡化！家庭規模變小　恐迎「零家,https://www.ptt.cc/bbs/Gossiping/M.1722315220.A.B0A.html
